date,price,market_cap,volume,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2020-10-05,0.646876,0.643865,0.062900,0.420000,0.795383,0.833796,0.871567,0.961978,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.413333,0.420000,0.434286,0.437778,0.440909,0.436154,0.436000,0.433000,1.000000
2020-10-06,0.642854,0.640633,0.067273,0.470000,0.791521,0.832765,0.869542,0.957484,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.436667,0.424000,0.437143,0.437778,0.441818,0.439231,0.435333,0.435000,1.000000
2020-10-07,0.610967,0.608768,0.081655,0.430000,0.785514,0.828288,0.865768,0.952596,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.440000,0.428000,0.428571,0.437778,0.440000,0.442308,0.438000,0.435667,0.000000
2020-10-08,0.608068,0.607231,0.049748,0.460000,0.782037,0.822897,0.860549,0.948048,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.453333,0.440000,0.430000,0.438889,0.439091,0.442308,0.440000,0.437333,0.000000
2020-10-09,0.630554,0.629145,0.067539,0.480000,0.782259,0.820511,0.858263,0.944758,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.456667,0.452000,0.440000,0.437778,0.443636,0.444615,0.446000,0.440667,0.000000
2020-10-10,0.670992,0.668567,0.094797,0.530000,0.786265,0.820908,0.856406,0.941668,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.490000,0.474000,0.458571,0.446667,0.450909,0.449231,0.450667,0.445667,1.000000
2020-10-11,0.684828,0.683904,0.086081,0.550000,0.793238,0.822523,0.856234,0.940326,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.520000,0.490000,0.477143,0.462222,0.456364,0.458462,0.457333,0.450333,1.000000
2020-10-12,0.695697,0.692166,0.048963,0.520000,0.807314,0.826710,0.856422,0.938722,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.533333,0.508000,0.491429,0.475556,0.462727,0.463846,0.460667,0.454000,1.000000
2020-10-13,0.730458,0.727806,0.110928,0.560000,0.827646,0.835458,0.855615,0.938016,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.543333,0.528000,0.504286,0.491111,0.476364,0.469231,0.469333,0.460000,1.000000
2020-10-14,0.722087,0.718916,0.074244,0.530000,0.842851,0.843466,0.855207,0.936336,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.536667,0.538000,0.518571,0.503333,0.488182,0.475385,0.474667,0.464667,1.000000
2020-10-15,0.712798,0.709396,0.086713,0.560000,0.849796,0.849149,0.854250,0.935735,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.550000,0.544000,0.532857,0.513333,0.500909,0.486923,0.479333,0.467667,1.000000
2020-10-16,0.707563,0.704970,0.079537,0.520000,0.853573,0.854729,0.854506,0.934938,0.999359,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.536667,0.538000,0.538571,0.523333,0.510000,0.496154,0.484000,0.470667,0.000000
2020-10-17,0.678437,0.677938,0.068803,0.560000,0.850706,0.860546,0.856635,0.933780,0.998953,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.546667,0.546000,0.542857,0.534444,0.518182,0.506923,0.494000,0.473333,0.000000
2020-10-18,0.685648,0.683336,0.050812,0.550000,0.843262,0.867235,0.858692,0.932066,0.998076,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.543333,0.544000,0.542857,0.542222,0.529091,0.516923,0.504000,0.475333,0.000000
2020-10-19,0.711364,0.708794,0.043022,0.550000,0.841481,0.874203,0.863701,0.930609,0.997406,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.553333,0.548000,0.547143,0.544444,0.537273,0.523077,0.512667,0.477667,0.000000
2020-10-20,0.713366,0.711646,0.063236,0.560000,0.841575,0.877856,0.865994,0.927716,0.996394,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.553333,0.548000,0.547143,0.545556,0.544545,0.533077,0.522000,0.479000,0.000000
2020-10-21,0.681885,0.680065,0.042225,0.610000,0.837309,0.877603,0.866948,0.923871,0.995166,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.573333,0.566000,0.558571,0.555556,0.551818,0.544615,0.531333,0.483333,0.000000
2020-10-22,0.743401,0.738365,0.115074,0.730000,0.848101,0.881716,0.869784,0.919138,0.995241,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.633333,0.600000,0.582857,0.574444,0.568182,0.563846,0.551333,0.494667,0.000000
2020-10-23,0.803312,0.800332,0.108181,0.740000,0.867648,0.887997,0.874459,0.917370,0.995643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.693333,0.638000,0.614286,0.597778,0.588182,0.580000,0.570000,0.505000,0.000000
2020-10-24,0.788937,0.785013,0.093059,0.730000,0.880535,0.893761,0.879063,0.918180,0.995928,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.733333,0.674000,0.638571,0.616667,0.603636,0.593846,0.586667,0.516333,0.000000
2020-10-25,0.797216,0.794163,0.067539,0.760000,0.894464,0.901040,0.883671,0.918900,0.996175,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.743333,0.714000,0.668571,0.643333,0.624545,0.612308,0.602000,0.526333,0.000000
2020-10-26,0.781634,0.779304,0.055815,0.750000,0.911035,0.907426,0.887741,0.922056,0.996783,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.746667,0.742000,0.697143,0.664444,0.641818,0.626923,0.615333,0.536333,0.000000
2020-10-27,0.746427,0.744651,0.145874,0.610000,0.911537,0.913289,0.891239,0.923618,0.996659,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.706667,0.718000,0.704286,0.671111,0.650000,0.633077,0.621333,0.541000,0.000000
2020-10-28,0.772941,0.770778,0.081927,0.700000,0.906492,0.920815,0.896309,0.925732,0.995444,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.686667,0.710000,0.717143,0.687778,0.662727,0.643846,0.630667,0.550000,0.000000
2020-10-29,0.733553,0.730183,0.094812,0.670000,0.897291,0.922728,0.899984,0.927874,0.993305,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.660000,0.698000,0.708571,0.700000,0.673636,0.655385,0.640000,0.557333,0.000000
2020-10-30,0.719501,0.719330,0.079656,0.740000,0.884381,0.923257,0.902542,0.929045,0.991202,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.703333,0.694000,0.708571,0.714444,0.690909,0.669231,0.652000,0.565667,0.000000
2020-10-31,0.717725,0.716460,0.084950,0.730000,0.873764,0.926347,0.905180,0.929366,0.989052,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.713333,0.690000,0.708571,0.714444,0.706364,0.683077,0.666000,0.575000,0.000000
2020-11-01,0.725657,0.724650,0.062894,0.720000,0.870314,0.924817,0.909220,0.929505,0.987136,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.730000,0.712000,0.702857,0.712222,0.716364,0.696154,0.676667,0.585333,0.000000
2020-11-02,0.750159,0.747845,0.057979,0.710000,0.866529,0.920234,0.914225,0.929393,0.985805,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.720000,0.714000,0.697143,0.710000,0.714545,0.707692,0.687333,0.595667,0.000000
2020-11-03,0.719610,0.718037,0.055639,0.710000,0.864213,0.914257,0.917362,0.929839,0.984666,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.713333,0.722000,0.711429,0.704444,0.711818,0.715385,0.698000,0.605333,0.000000
2020-11-04,0.731186,0.729622,0.069983,0.740000,0.866154,0.908564,0.919482,0.929976,0.983299,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.720000,0.722000,0.717143,0.703333,0.712727,0.716154,0.710000,0.616000,0.000000
2020-11-05,0.767193,0.762460,0.099328,0.720000,0.874372,0.907319,0.922383,0.931406,0.983422,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.723333,0.720000,0.724286,0.715556,0.709091,0.714615,0.717333,0.624333,0.000000
2020-11-06,0.804429,0.800772,0.126302,0.900000,0.887458,0.912320,0.926213,0.933510,0.983699,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.786667,0.756000,0.747143,0.737778,0.722727,0.727692,0.728667,0.640000,0.000000
2020-11-07,0.910310,0.906954,0.163436,0.880000,0.914063,0.924164,0.932549,0.936405,0.985503,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.833333,0.790000,0.768571,0.761111,0.747273,0.736923,0.738000,0.654000,0.000000
2020-11-08,0.858521,0.858429,0.147937,0.820000,0.937139,0.934939,0.937355,0.938708,0.986081,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.866667,0.812000,0.782857,0.770000,0.758182,0.742308,0.744000,0.665333,0.000000
2020-11-09,0.912274,0.910166,0.092585,0.900000,0.967222,0.951560,0.944381,0.941886,0.988208,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.866667,0.844000,0.810000,0.788889,0.779091,0.764615,0.753333,0.677667,0.000000
2020-11-10,0.887080,0.882360,0.105161,0.900000,0.987138,0.966162,0.950704,0.945332,0.989946,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.873333,0.880000,0.837143,0.808889,0.793636,0.780000,0.763333,0.689333,0.000000
2020-11-11,0.898074,0.895008,0.047132,0.860000,1.000000,0.981028,0.958441,0.950498,0.991945,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.886667,0.872000,0.854286,0.825556,0.805455,0.794615,0.780000,0.700667,0.000000
2020-11-12,0.930750,0.925618,0.096442,0.870000,1.000000,0.996599,0.967075,0.956096,0.993884,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.876667,0.870000,0.875714,0.843333,0.819091,0.804615,0.791333,0.711000,0.000000
2020-11-13,0.925438,0.925634,0.091116,0.890000,1.000000,1.000000,0.974615,0.962668,0.995606,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.873333,0.884000,0.874286,0.860000,0.835455,0.816923,0.806000,0.723000,0.000000
2020-11-14,0.964056,0.959657,0.087424,0.900000,1.000000,1.000000,0.983446,0.968493,0.996802,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.886667,0.884000,0.877143,0.880000,0.852727,0.830769,0.816667,0.734333,0.000000
2020-11-15,0.928478,0.925128,0.073044,0.860000,1.000000,1.000000,0.992132,0.973541,0.997288,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.883333,0.876000,0.882857,0.875556,0.863636,0.842308,0.825333,0.745667,0.000000
2020-11-16,0.892200,0.890339,0.061597,0.900000,0.999055,1.000000,0.997373,0.977771,0.995915,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.886667,0.884000,0.882857,0.877778,0.880000,0.856923,0.837333,0.757000,0.000000
2020-11-17,0.925600,0.923069,0.074513,0.860000,0.998227,1.000000,1.000000,0.982475,0.996251,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.873333,0.882000,0.877143,0.882222,0.876364,0.866154,0.847333,0.767333,0.000000
2020-11-18,0.981413,0.977759,0.111294,0.910000,1.000000,1.000000,1.000000,0.988436,0.999264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.890000,0.886000,0.884286,0.883333,0.879091,0.880769,0.860667,0.779333,0.000000
2020-11-19,0.974621,0.971401,0.150919,0.940000,1.000000,1.000000,1.000000,0.994122,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.903333,0.894000,0.894286,0.887778,0.890000,0.883846,0.874000,0.792000,0.000000
2020-11-20,0.950014,0.946653,0.089256,0.860000,1.000000,1.000000,1.000000,0.999359,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.903333,0.894000,0.890000,0.887778,0.886364,0.882308,0.883333,0.800333,0.000000
2020-11-21,1.000000,1.000000,0.153468,0.910000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.903333,0.896000,0.891429,0.892222,0.887273,0.889231,0.884000,0.806333,0.000000
2020-11-22,1.000000,1.000000,0.177055,0.940000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.903333,0.912000,0.902857,0.897778,0.894545,0.892308,0.888000,0.813000,1.000000
2020-11-23,1.000000,1.000000,0.225896,0.900000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.916667,0.910000,0.902857,0.897778,0.897273,0.892308,0.893333,0.818667,1.000000
2020-11-24,1.000000,1.000000,0.254497,0.880000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.906667,0.898000,0.905714,0.900000,0.896364,0.893846,0.892000,0.822667,1.000000
2020-11-25,0.986426,0.989250,0.213795,0.940000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.906667,0.914000,0.910000,0.904444,0.900000,0.899231,0.894667,0.829000,1.000000
2020-11-26,0.916990,0.920692,0.147732,0.930000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.916667,0.918000,0.908571,0.912222,0.906364,0.902308,0.899333,0.839667,1.000000
2020-11-27,0.816965,0.825327,0.297652,0.860000,0.989371,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.910000,0.902000,0.908571,0.906667,0.902727,0.899231,0.898667,0.845000,0.000000
2020-11-28,0.814877,0.822027,0.141495,0.870000,0.974399,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.886667,0.896000,0.902857,0.898889,0.903636,0.900000,0.897333,0.851667,0.000000
2020-11-29,0.855222,0.866867,0.071236,0.890000,0.949750,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.873333,0.898000,0.895714,0.902222,0.901818,0.899231,0.896667,0.856667,0.000000
2020-11-30,0.931237,0.935148,0.126397,0.880000,0.940354,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.880000,0.886000,0.892857,0.898889,0.896364,0.900769,0.898000,0.861667,0.000000
2020-12-01,1.000000,1.000000,0.198298,0.950000,0.955853,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.906667,0.890000,0.902857,0.900000,0.904545,0.903846,0.901333,0.869333,1.000000
2020-12-02,0.952111,0.951773,0.263421,0.920000,0.980162,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.916667,0.902000,0.900000,0.902222,0.905455,0.902308,0.905333,0.876333,0.000000
2020-12-03,0.969503,0.974030,0.142754,0.920000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.930000,0.912000,0.898571,0.906667,0.903636,0.906923,0.906000,0.883333,0.000000
2020-12-04,1.000000,1.000000,0.106703,0.920000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.920000,0.918000,0.907143,0.904444,0.905455,0.907692,0.904667,0.889333,0.000000
2020-12-05,0.901625,0.902544,0.134019,0.930000,0.996776,0.993584,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.923333,0.928000,0.915714,0.904444,0.910000,0.906923,0.909333,0.896333,0.000000
2020-12-06,0.950833,0.951319,0.098942,0.950000,0.989103,0.997395,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.933333,0.928000,0.924286,0.914444,0.910909,0.910769,0.912000,0.898000,0.000000
2020-12-07,0.962871,0.963765,0.094692,0.940000,0.991379,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.940000,0.932000,0.932857,0.922222,0.911818,0.915385,0.912000,0.900000,0.000000
2020-12-08,0.944451,0.946945,0.075011,0.950000,0.987704,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.946667,0.938000,0.932857,0.928889,0.920000,0.916154,0.915333,0.904333,0.000000
2020-12-09,0.868997,0.875112,0.122885,0.860000,0.965902,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.916667,0.926000,0.924286,0.926667,0.919091,0.910769,0.914000,0.903000,0.000000
2020-12-10,0.908687,0.909950,0.130168,0.940000,0.967077,0.998958,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.916667,0.928000,0.927143,0.925556,0.923636,0.916923,0.914000,0.904333,0.000000
2020-12-11,0.879728,0.881515,0.096481,0.890000,0.955243,0.989035,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.896667,0.916000,0.922857,0.922222,0.924545,0.918462,0.911333,0.905333,0.000000
2020-12-12,0.850175,0.852487,0.092870,0.900000,0.936487,0.980653,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.910000,0.908000,0.918571,0.920000,0.920000,0.919231,0.914000,0.906333,0.000000
2020-12-13,0.894648,0.896214,0.067942,0.910000,0.928199,0.974567,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.900000,0.900000,0.912857,0.918889,0.919091,0.921538,0.916667,0.907000,0.000000
2020-12-14,0.938283,0.939034,0.062080,0.950000,0.939730,0.969342,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.920000,0.918000,0.914286,0.921111,0.921818,0.921538,0.920667,0.908667,0.000000
2020-12-15,0.926277,0.928158,0.044233,0.910000,0.942657,0.971429,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.923333,0.912000,0.908571,0.916667,0.920909,0.920769,0.922667,0.910333,0.000000
2020-12-16,0.932898,0.934567,0.076474,0.920000,0.951506,0.969911,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.926667,0.918000,0.917143,0.914444,0.920000,0.920769,0.920667,0.911000,0.000000
2020-12-17,1.000000,1.000000,0.139640,0.920000,0.980882,0.975313,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.916667,0.922000,0.914286,0.911111,0.917273,0.920769,0.920667,0.913000,0.000000
2020-12-18,1.000000,1.000000,0.207291,0.950000,1.000000,0.983681,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.930000,0.930000,0.922857,0.921111,0.918182,0.922308,0.922667,0.914333,0.000000
2020-12-19,1.000000,1.000000,0.163573,0.930000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.933333,0.926000,0.927143,0.920000,0.916364,0.920769,0.923333,0.914000,0.000000
2020-12-20,1.000000,1.000000,0.138852,0.920000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.933333,0.928000,0.928571,0.923333,0.921818,0.919231,0.922667,0.916000,0.000000
2020-12-21,0.963483,0.960378,0.113463,0.920000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.923333,0.928000,0.924286,0.925556,0.920000,0.916923,0.920667,0.916333,0.000000
